"REGION","ONSET_DATE"
"c","2014-08-15"
"c","2014-08-18"
"c","2014-08-20"
"c","2014-08-20"
"c","2014-08-21"
"c","2014-08-21"
"c","2014-08-24"
"c","2014-08-25"
"c","2014-09-06"
"c","2014-09-14"
"c","2014-09-15"
"c","2014-09-18"
"c","2014-09-27"
"c","2015-07-20"
"c","2015-07-30"
"c","2015-07-30"
"c","2015-08-04"
"c","2015-08-05"
"c","2015-08-06"
"c","2015-08-07"
"c","2015-08-13"
"c","2015-08-13"
"c","2015-08-14"
"c","2015-08-14"
"c","2015-08-16"
"c","2015-08-18"
"c","2015-08-20"
"c","2015-08-20"
"c","2015-08-22"
"c","2015-08-23"
"c","2015-08-23"
"c","2015-08-24"
"c","2015-08-24"
"c","2015-08-25"
"c","2015-08-26"
"c","2015-08-26"
"c","2015-08-27"
"c","2015-08-30"
"c","2015-09-01"
"c","2015-09-03"
"c","2015-09-06"
"c","2015-09-06"
"c","2015-09-09"
"c","2015-09-16"
"c","2015-09-19"
"c","2015-09-19"
"c","2016-06-29"
"c","2016-07-20"
"c","2016-07-20"
"c","2016-07-21"
"c","2016-07-28"
"c","2016-08-02"
"c","2016-08-05"
"c","2016-08-10"
"c","2016-08-10"
"c","2016-08-21"
"c","2016-08-23"
"c","2016-08-24"
"c","2016-08-24"
"c","2016-08-25"
"c","2016-08-25"
"c","2016-08-25"
"c","2016-08-25"
"c","2016-08-26"
"c","2016-08-27"
"c","2016-08-29"
"c","2016-08-29"
"c","2016-08-30"
"c","2016-09-09"
"c","2016-09-13"
"c","2016-09-18"
"c","2016-09-24"
"c","2017-06-25"
"c","2017-07-06"
"c","2017-07-25"
"c","2017-08-08"
"c","2017-08-08"
"c","2017-08-13"
"c","2017-08-19"
"c","2017-08-20"
"c","2017-08-20"
"c","2017-08-23"
"c","2017-08-24"
"c","2017-08-25"
"c","2017-08-28"
"c","2017-08-29"
"c","2017-08-30"
"c","2017-09-01"
"c","2017-09-02"
"c","2017-09-02"
"c","2017-09-02"
"c","2017-09-06"
"c","2017-09-06"
"c","2017-09-08"
"c","2017-09-08"
"c","2017-09-23"
"c","2018-07-25"
"c","2018-07-27"
"c","2018-07-27"
"c","2018-07-28"
"c","2018-07-29"
"c","2018-07-29"
"c","2018-07-31"
"c","2018-08-01"
"c","2018-08-03"
"c","2018-08-11"
"c","2018-08-13"
"c","2018-08-14"
"c","2018-08-15"
"c","2018-08-17"
"c","2018-08-18"
"c","2018-08-21"
"c","2018-08-24"
"c","2018-08-25"
"c","2018-08-25"
"c","2018-08-28"
"c","2018-09-01"
"c","2018-09-02"
"c","2018-09-03"
"c","2018-09-07"
"c","2018-09-08"
"c","2018-09-23"
"c","2019-06-30"
"c","2019-07-08"
"c","2019-07-14"
"c","2019-07-24"
"c","2019-07-27"
"c","2019-07-29"
"c","2019-08-08"
"c","2019-08-09"
"c","2019-08-09"
"c","2019-08-13"
"c","2019-08-18"
"c","2019-08-18"
"c","2019-08-18"
"c","2019-08-19"
"c","2019-08-19"
"c","2019-08-20"
"c","2019-08-21"
"c","2019-08-23"
"c","2019-08-29"
"c","2019-08-30"
"c","2019-08-31"
"c","2019-09-01"
"c","2019-09-04"
"c","2019-09-07"
"c","2019-09-08"
"c","2019-09-09"
"c","2020-07-14"
"c","2020-07-18"
"c","2020-07-31"
"c","2020-08-02"
"c","2020-08-07"
"c","2020-08-07"
"c","2020-08-12"
"c","2020-08-15"
"c","2020-08-15"
"c","2020-08-16"
"c","2020-08-16"
"c","2020-08-18"
"c","2020-08-20"
"c","2020-08-21"
"c","2020-08-24"
"c","2020-08-26"
"c","2020-08-29"
"c","2020-08-29"
"c","2020-08-31"
"c","2020-09-04"
"c","2020-09-04"
"c","2020-09-05"
"c","2020-09-06"
"c","2020-09-06"
"c","2020-09-08"
"c","2020-09-11"
"c","2020-09-13"
"c","2020-09-15"
"c","2020-09-24"
"c","2020-10-13"
"c","2021-07-28"
"c","2021-07-29"
"c","2021-07-30"
"c","2021-07-31"
"c","2021-08-03"
"c","2021-08-03"
"c","2021-08-12"
"c","2021-08-13"
"c","2021-08-16"
"c","2021-08-17"
"c","2021-08-17"
"c","2021-08-19"
"c","2021-08-21"
"c","2021-08-23"
"c","2021-08-28"
"c","2021-08-28"
"c","2021-08-30"
"c","2021-09-01"
"c","2021-09-03"
"c","2021-09-04"
"c","2021-09-10"
"c","2021-09-12"
"c","2021-09-16"
"c","2021-09-17"
"c","2021-09-18"
"c","2021-09-24"
"c","2021-10-08"
"c","2022-06-26"
"c","2022-07-09"
"c","2022-07-14"
"c","2022-07-19"
"c","2022-07-20"
"c","2022-07-21"
"c","2022-07-24"
"c","2022-07-30"
"c","2022-08-05"
"c","2022-08-07"
"c","2022-08-08"
"c","2022-08-09"
"c","2022-08-18"
"c","2022-08-20"
"c","2022-08-22"
"c","2022-08-24"
"c","2022-08-25"
"c","2022-08-27"
"c","2022-08-27"
"c","2022-09-01"
"c","2022-09-02"
"c","2022-09-04"
"c","2022-09-04"
"c","2022-09-06"
"c","2022-09-24"
"c","2022-09-29"
"c","2023-07-16"
"c","2023-07-17"
"c","2023-07-24"
